"Timestamp","hyperlink","WineID","Brand","Wine","Year","Category","Price","Rating","ReviewCount"
"2024-10-05","/NL/nl/pago-del-vicario-penta/w/16922?year=2021&price_id=35585558",16922,"Pago del Vicario","Penta 2021",2021,"Red",10,3.5,1910
"2024-10-05","/NL/nl/el-coto-crianza/w/8619?year=2020&price_id=35896505",8619,"El Coto","Crianza 2020",2020,"Red",10,3.7,1490
"2024-10-05","/NL/nl/bodegas-care-garnacha-nativa-vinas-viejas/w/6854821?year=2021&price_id=32675689",6854821,"Bodegas Care","Garnacha Nativa Viñas Viejas 2021",2021,"Red",9.99,3.9,158
"2024-10-05","/NL/nl/bodegas-care-crianza-tempranillo-merlot/w/1369510?year=2020&price_id=33509424",1369510,"Bodegas Care","Crianza Tempranillo - Merlot 2020",2020,"Red",9.99,3.9,50
"2024-10-05","/NL/nl/atalaya-almansa-laya/w/1193347?year=2021&price_id=36601245",1193347,"Atalaya","Laya 2021",2021,"Red",9.99,3.8,1688
"2024-10-05","/NL/nl/familia-torres-natureo-syrah/w/2109187?year=2023&price_id=36578722",2109187,"Familia Torres","Natureo Syrah 2023",2023,"Red",9.99,2.5,773
"2024-10-05","/NL/nl/rumors-roble/w/5372627?year=2020&price_id=31175121",5372627,"Rumors","Roble 2020",2020,"Red",9.99,3.6,275
"2024-10-05","/NL/nl/bodegas-care-carinena-nativa-vinas-viejas/w/8081153?year=2021&price_id=34052954",8081153,"Bodegas Care","Cariñena Nativa Viñas Viejas 2021",2021,"Red",9.99,4,124
"2024-10-05","/NL/nl/vinos-alex-ontinar-tempranillo/w/4561700?year=2016&price_id=23402094",4561700,"Vinos Alex","Ontinar Tempranillo 2016",2016,"Red",9.95,3.5,76
"2024-10-05","/NL/nl/bodegas-bastida-churubito-tempranillo/w/9391795?year=2022&price_id=34408160",9391795,"Bodegas Bastida","Churubito Tempranillo 2022",2022,"Red",9.95,4.2,121
"2024-10-05","/NL/nl/hola-al-mercado-syrah-garnacha-tinta/w/11201011?year=2020&price_id=34930061",11201011,"Hola","Al Mercado Syrah - Garnacha Tinta 2020",2020,"Red",9.95,3.7,90
"2024-10-05","/NL/nl/bodegas-piqueras-sa-marius-reserva/w/2965?year=2019&price_id=35354926",2965,"Bodegas Piqueras","Marius Reserva 2019",2019,"Red",9.95,3.7,364
"2024-10-05","/NL/nl/marques-de-riscal-vina-collada-rioja/w/1138073?year=2020&price_id=36609642",1138073,"Marqués de Riscal","Viña Collada Rioja 2020",2020,"Red",9.95,3.6,18660
"2024-10-05","/NL/nl/estevez-bodegas-y-vinedos-versos-de-valtuille-mencia/w/4788844?year=2021&price_id=32898465",4788844,"Estévez Bodegas y Viñedos","Versos de Valtuille Mencía 2021",2021,"Red",9.95,3.7,74
